speaker_id,Average,Bad,Good,total_samples
005039b8-898f-48d8-b7cc-8a16bd1055c8,209,43,94,346
031b0a74-5bdd-47e7-b8b7-9bb58d0e8c72,237,8,31,276
0497b106-6644-42ce-b99e-57f9a6c7fc81,258,0,38,296
0b890339-031a-43ef-bc2e-5e8b5ac5e613,207,4,148,359
12fb73be-cf60-4794-befb-381682ccda9a,313,34,9,356
1cd99b41-8298-4180-aec6-bb65039c9ed7,37,1,0,38
24f85b05-10f3-49f3-bfd0-273120e750cb,156,50,0,206
2a4acb33-759e-411f-bbd0-2470080758fb,154,172,3,329
3e7e3ad6-938d-40fa-9787-2e9f8c529a66,141,158,0,299
4a8346e7-fa21-49b9-9a6f-c69ef828a68c,132,0,19,151
4ee1811c-9884-4261-99cb-2f7346c8ea6e,121,239,2,362
50e4a935-c887-4c38-aff2-6286aab725d1,317,14,6,337
5184dba3-c5e1-4570-ba26-62176e8c8dcc,210,24,4,238
6516567b-0d9b-4853-880c-d5f0327dd384,133,0,18,151
684dd9cf-2844-407b-9a7f-12e7b559773f,315,3,40,358
6d34bfbb-2de2-48d9-891d-ae216f9b347b,314,52,2,368
72725555-9e5d-436a-b311-25048bc0c594,292,45,22,359
72911186-8b0e-4c0b-af3d-4d8765072930,323,38,1,362
7ca44480-9007-4c1c-8046-aade3c4e6a87,199,124,8,331
7f4b1ca8-c652-4056-96fb-f02e82182574,338,5,1,344
8050767b-0a0e-43db-8754-2a42e896f7dd,325,0,29,354
831d404d-b189-42b6-8120-073c1f8af73c,130,226,0,356
8800b4de-fa22-4fdc-9f29-457c4010fd57,283,72,3,358
887b50f8-215b-4a1d-8f32-13516da6506f,349,0,9,358
8d167b1c-7f89-4487-a0a9-2bbe08bf0b41,225,1,137,363
8f16829d-1a64-4145-927c-d6738a07ea24,152,3,46,201
9a9554dd-3ee4-4997-82e6-1d78e0ca3d7f,17,264,0,281
a677eda9-7709-4c9d-8656-e7b665140f3b,65,299,1,365
aa7d9d2c-90d3-41f9-a92e-f07b93765f8b,268,12,83,363
acf67674-c912-42c0-ba3c-f85e2db965ac,360,2,2,364
aece75d7-5d2b-47a4-9f87-24962dfd2e38,288,0,66,354
ba118975-5963-4495-927a-a78d19dd98c1,179,111,1,291
ba826a45-33f8-47ef-9516-a66a201aac29,123,56,0,179
c4f6bcdf-fc02-4fe8-9277-0701cfffebab,256,25,21,302
ce50fa32-dbc4-4f72-bd5f-5128784a5abc,263,0,60,323
ce8839ae-3b20-491c-8c33-cef08b4def6e,85,213,0,298
d2dee463-0eb9-47fa-b739-f1dccd8638f9,107,30,26,163
d2f85a8f-7c45-48e3-a804-0b192f7f8ad6,286,2,0,288
d9b44aee-da3d-42c8-8ad1-d1029767f05a,175,0,33,208
e903f18d-7bbb-4fb6-aaa3-0f7d965027fb,130,115,3,248
f2feaf58-1285-4fc1-831d-5c1b013b7e0b,114,1,22,137
fb1b67be-8d8f-47bb-b15c-ee1138f0d4ac,343,13,0,356
fd72db57-c291-43e6-840e-92e06f83ae56,82,132,0,214
